Seq,DateListed,年度,類別,項目別,總計,未滿1年,年資1年_未滿3年,年資3年_未滿5年,年資5年_未滿7年,年資7年_未滿9年,年資9年_未滿12年,年資12年_未滿15年,年資15年及以上,平均年資_年,樣本數_人,母體數_人
1,"20230401","103","總計","-","100.000000000001","18.1262520036518","20.0528143199708","12.6565875748517","10.9615533548223","5.53685558433946","9.82865296173781","3.7415155451896","19.0957686554377","7.69730164165208","30225.5864565936","235643.104494163"
2,"20230401","103","性別","男","99.9999999999999","19.4403738158542","18.4352181766348","11.4254974613038","10.2466240125053","5.30368255161459","9.70107016107272","3.66500890916762","21.7825249118469","8.22514172576649","16624.2180759134","129603.869860044"
3,"20230401","103","性別","女","99.9999999999999","16.5200986499743","22.029881777788","14.1612574587183","11.835358317301","5.82184564007121","9.98458793006161","3.83502391624321","15.8119463098423","7.05216196477166","13601.3683806803","106039.234634123"
4,"20230401","103","年齡","15 ~ 19歲","100","53.6458622272627","41.8943874016272","4.28534893521802","0.174401435892189","0","0","0","0","0.943508753885281","976.549929090396","7613.94440913662"
5,"20230401","103","年齡","20 ~ 24歲","99.9999999999995","32.4105759934546","46.0491367857724","15.8075694559766","4.97002691507875","0.6659033500754","0.0967874996418677","0","0","1.70915811960458","3019.68096107369","23542.746216537"
6,"20230401","103","年齡","25 ~ 29歲","100","19.5010241706065","31.289344019596","24.0378439736404","15.8226185248103","5.88986412920494","3.07278708004239","0.325560098548843","0.0609580035507405","3.09092409469823","3777.53149267266","29449.5372196931"
7,"20230401","103","年齡","30 ~ 34歲","100","15.1817974078342","21.0611436385865","17.1500290533117","17.0450725420183","9.71492205055087","13.2870022895216","4.173545048797","2.38648796938018","4.91940108708962","4348.98387446459","33905.0111326193"
8,"20230401","103","年齡","35 ~ 39歲","100","14.3468395725344","15.7953365054391","13.0980750238435","15.1563956207115","8.29829311536897","13.9012768464195","6.58908996624011","12.8146933494429","6.69940367862431","3985.74650895717","31073.7241075274"
9,"20230401","103","年齡","40 ~ 44歲","99.9999999999999","14.8068775116278","12.8274053683314","10.6479188839776","10.81571797253","6.15053158742059","14.665548363107","4.98589956506602","25.1001007479395","8.56265895375653","3734.83358892533","29116.8651503175"
10,"20230401","103","年齡","45 ~ 49歲","99.9999999999999","14.4976497993303","11.217795060596","8.07953896852534","8.21857776569368","5.42765676271351","13.2373161978693","4.42930154138122","34.8921639038906","10.5865224245762","3722.9947708237","29025.2459497555"
