Seq,DateListed,年度,類別,項目別,總計,農林漁牧業,工業_礦業及土石採取業,工業_製造業,工業_電力及燃氣供應業,工業_用水供應及污染整治業,工業_營建工程業,服務業_批發及零售業,服務業_運輸及倉儲業,服務業_住宿及餐飲業,服務業_出版影音製作傳播及通資訊服務業,服務業_金融及保險業,服務業_不動產業,服務業_專業_科學及技術服務業,服務業_支援服務業,服務業_公共行政及國防_強制性社會安全,服務業_教育業,服務業_醫療保健及社會工作服務業,服務業_藝術_娛樂及休閒服務業,服務業_其他服務業,樣本數_人,母體數_人
1,20230401,103,總計,-,100.000000000001,11.6398006957409,0.564206001497218,16.3207308110818,0.650641397496148,0.943657540710447,18.5637896144176,9.02441775209712,5.27984791755935,9.71994064229711,0.73151152541492,1.06460731276194,0.259445175723735,0.690916403690169,2.91239018264699,4.06987336117742,3.58231250255024,5.59803876891958,2.00794760474602,6.37592478947239,30225.5864565936,235643.104494163
2,20230401,103,性別,男,99.9999999999997,13.5202356863743,0.870033816085655,15.3932136694165,1.04730421739808,1.26873842523873,28.7274387262688,5.0505279134553,8.57503781621651,5.69916516176067,0.821650362413012,0.549814745175972,0.312601006116749,0.609627169346091,3.08611992181863,5.04676418581685,2.27685549451748,1.1935538178441,1.62573439903792,4.32558346569843,16624.2180759134,129603.869860044
3,20230401,103,性別,女,99.9999999999999,9.34148486342419,0.190415409569006,17.4543660295561,0.165829934396939,0.546335353335507,6.14151722306546,13.8814077451173,1.25238238309689,14.6342354683009,0.621341528998525,1.69379998059413,0.194476757681772,0.790270188968815,2.7000532435497,2.87589236215472,5.17787551053241,10.9813131424975,2.47509837910134,8.88190449605865,13601.3683806803,106039.234634123
4,20230401,103,年齡,15 ~ 19歲,100,3.74415148272191,0,14.782542006031,0.845103684099886,0.437004907863313,13.7926464453656,19.7233178123326,2.49507675781427,27.4156092464146,0.0495119074012427,0.16771241720301,0,0,0.720141355955867,0.393864072925347,1.23239170832414,0.938351392421291,3.0391021343836,10.2234726687424,976.549929090396,7613.94440913662
5,20230401,103,年齡,20 ~ 24歲,99.9999999999996,4.18092802222035,0.424428453255274,17.1600844759318,0.460052585574049,0.540869209172785,12.5134103612159,16.6313989007884,2.93100130713429,17.7919491397809,0.977721438737078,1.01887050714381,0.315163371752074,0.650755461729865,1.91219949699627,1.42043347597483,4.01610228201897,6.27477208684561,2.70626836275583,8.07359106097156,3019.68096107369,23542.746216537
6,20230401,103,年齡,25 ~ 29歲,100,5.01204605100421,0.208054164266693,21.0154488780596,0.366104730226628,0.767397966513554,12.4745136986069,12.8886726082201,5.06507286465531,10.7340412324792,1.47501835702961,2.00199733296402,0.406539668214499,1.31543978050787,2.06347556932831,2.89550299581942,4.93167794350952,8.00535895802786,2.83250094220512,5.54113625836153,3777.53149267266,29449.5372196931
7,20230401,103,年齡,30 ~ 34歲,100,6.8969406748213,0.573818547325856,21.5196712085636,0.53136488015691,0.745343124067142,16.8614783610685,8.725153334231,5.53754947005546,8.76380881957701,0.938033912390996,1.86330413726833,0.384929824972019,0.64747107508594,2.54380983976343,3.66370281615644,3.79343035154053,8.01705525062406,2.03735557842754,5.95577879390427,4348.98387446459,33905.0111326193
8,20230401,103,年齡,35 ~ 39歲,100,7.67481873808786,0.661321755376881,19.9061494358155,0.738259680928336,1.07796824539169,20.0237430341953,8.09146372566387,6.32561411839847,7.20744477278855,1.2169436930126,1.30460547757494,0.302765709145753,1.08698061812802,2.95106464154542,3.79897796242273,3.4849101485797,6.16997517414928,1.96400975863674,6.01298331015842,3985.74650895717,31073.7241075274
9,20230401,103,年齡,40 ~ 44歲,99.9999999999999,11.2070340369638,0.673920036115124,16.1376361203727,0.74200553485421,1.13994505880681,22.1591677390506,6.00096438640543,6.19179366546763,7.68403746165264,0.793445168433602,0.814855015676506,0.196557340798566,0.737843052585985,3.57760919491401,5.86189567024815,3.52730919361727,5.10744032106024,1.41415400135215,6.03238700162442,3734.83358892533,29116.8651503175
10,20230401,103,年齡,45 ~ 49歲,99.9999999999998,13.1626295886173,1.00075940834634,12.6143248133898,0.56611362593315,0.864105444197682,25.0613577969712,5.47456319608694,6.11809009185064,8.59478394297833,0.240434741016291,0.43018464869033,0.250814802715594,0.497867270923532,3.24483348736639,6.08267688456888,3.30723971408814,4.75441027518534,1.79689398358018,5.93791628349381,3722.9947708237,29025.2459497555
